threshold,sens,spec,ppv,npv,burden,nnt,tp,fp,fn,tn
0.1,0.9293987865416437,0.2884952928035743,0.2742513020833333,0.9338842975206612,0.7603960396039604,3.646290801186944,1685,4459,128,1808
0.125,0.8769994484280199,0.40593585447582575,0.2992659514398645,0.919407300325262,0.657549504950495,3.3415094339622637,1590,3723,223,2544
0.15,0.8229453943739659,0.4941758417105473,0.32003432003432003,0.9060854300760679,0.5769801980198019,3.1246648793565686,1492,3170,321,3097
0.175,0.7821290678433536,0.5643848731450455,0.34185149469623916,0.8995422177009156,0.5133663366336634,2.92524682651622,1418,2730,395,3537
0.19999999999999998,0.7297297297297297,0.6278921333971598,0.3619699042407661,0.8892655367231639,0.45235148514851486,2.762660619803477,1323,2332,490,3935
0.22499999999999998,0.6784335355763927,0.6800702090314344,0.3802163833075734,0.8796697626418989,0.4003712871287129,2.6300813008130084,1230,2005,583,4262
0.24999999999999997,0.6326530612244898,0.7258656454443912,0.40034904013961603,0.8722914669223394,0.35457920792079206,2.4978204010462077,1147,1718,666,4549
0.27499999999999997,0.5785990071704358,0.765438008616563,0.4164350932909885,0.862614637655098,0.31175742574257426,2.4013346043851285,1049,1470,764,4797
0.29999999999999993,0.5322669608383894,0.7989468645284825,0.4337078651685393,0.8551665243381725,0.2753712871287129,2.305699481865285,965,1260,848,5007
0.32499999999999996,0.4859349145063431,0.8322961544598692,0.4560041407867495,0.8484059856864021,0.2391089108910891,2.1929625425652666,881,1051,932,5216
0.35,0.4379481522338665,0.861496728897399,0.4777376654632972,0.8412277968214397,0.20569306930693068,2.093198992443325,794,868,1019,5399
0.3749999999999999,0.38554881412024267,0.8836764001914792,0.4894957983193277,0.8325315694527962,0.17673267326732672,2.0429184549356223,699,729,1114,5538
0.3999999999999999,0.33645890788747934,0.9031434498164991,0.5012325390304027,0.8247122249745009,0.1506188118811881,1.9950819672131146,610,607,1203,5660
0.42499999999999993,0.29398786541643684,0.9187809159087282,0.5115163147792706,0.818130150610969,0.12896039603960396,1.9549718574108819,533,509,1280,5758
0.44999999999999996,0.25427468284611143,0.9339396840593586,0.5268571428571428,0.81235253296322,0.10829207920792079,1.8980477223427334,461,414,1352,5853
0.47499999999999987,0.21621621621621623,0.9475027924046593,0.5436893203883495,0.8069031118358473,0.08923267326732673,1.8392857142857144,392,329,1421,5938
0.4999999999999999,0.16822945394373967,0.9601085048667624,0.5495495495495496,0.7996013289036545,0.0686881188118812,1.8196721311475408,305,250,1508,6017
0.5249999999999999,0.12906784335355764,0.9698420296792724,0.5531914893617021,0.7937834661094424,0.05235148514851485,1.8076923076923077,234,189,1579,6078
0.5499999999999999,0.10314396028681742,0.977341630764321,0.5683890577507599,0.7902206166946201,0.04071782178217822,1.7593582887700534,187,142,1626,6125
